Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Dividend Yield,Sector,Industry,About
ZTECH,624.7,0.37,7.0,17-Feb-2025,SME,₹ 799 Cr.,57.9,45.7 %,58.2 %,0.00 %,Entertainment,Recreation / Amusement Parks,"Incorporated in November 1994, Z-Tech (India) Limited designs civil engineering products and provides state-of-the-art specialty Geo-Technical Solutions for infrastructure and civil construction projects in India."
AARTIPHARM,807.0,2.02,1,18-Feb-2025,Equity,"₹ 7,344 Cr.",31.7,13.1 %,16.4 %,0.37 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 2019, Aarti Pharmalabs Ltd is a manufacturer of Pharmaceuticals and Nutraceuticals[1]"
AJAXENGG,608.0,2.12,1,18-Feb-2025,Equity,"₹ 6,951 Cr.",30.8,27.7 %,36.9 %,0.00 %,Capital Goods-Non Electrical Equipment,Engineering,"Incorporated in July 1992, Ajax Engineering Limited manufactures a wide range of concrete equipment and services across the value chain.[1]"
COOLCAPS,889.15,4.99,137,18-Feb-2025,SME,"₹ 1,027 Cr.",180,12.1 %,12.0 %,0.00 %,Plastic products,Plastics Products,"Incorporated in 2015, Cool Caps Industries manufactures Plastic Caps & Closures[1]"
ELGNZ,119.5,2.14,4,18-Feb-2025,SME,₹ 268 Cr.,23.5,26.6 %,23.5 %,0.00 %,Miscellaneous,Miscellaneous,"Incorporated in 1996, Eleganz Interiors Limited is engaged in the business of Interior solutions for corporations, laboratories, airport lounges, etc.[1]"
JAKHARIA,66.85,4.95,6,18-Feb-2025,SME,₹ 27.2 Cr.,Book Value,2.08 %,8.33 %,0.00 %,Textiles,Textiles - Products,"Incorporated in 2007, Jakharia Fabric Ltd is a manufacturer of textile products including Job work[1]"
JALAN,13.0,4.84,1,18-Feb-2025,SME,₹ 18.9 Cr.,16.7,%,3.62 %,0.00 %,Logistics,Miscellaneous,"Incorporated in 2003, Jalan Transolutions Ltd is in the business of providing transportation services[1]"
MPSLTD,2728.0,-0.39,12,18-Feb-2025,Equity,"₹ 4,717 Cr.",43.6,29.2 %,39.0 %,2.74 %,IT - Software,Computers - Software - Medium / Small,"MPS is a B2B learning and platform solutions company powering education, and research for corporates. MPS has unlocked a new growth trajectory due to the combined effect of lower attention spans, rapid growth in digital consumption, and the recent advances in AI/ML."
NORBTEAEXP,40.27,4.98,1,18-Feb-2025,Equity,₹ 47.2 Cr.,Book Value,-12.2 %,-2.57 %,0.00 %,Plantation & Plantation Products,Tea,"Incorporated in 1990, Norben Tea & Exports Limited is engaged in the business of growing and manufacturing of Tea and providing Commission."
OLIL,142.0,14.89,25,18-Feb-2025,SME,₹ 51.1 Cr.,31.9,9.00 %,10.6 %,0.00 %,Logistics,Miscellaneous,"Incorporated in 2022, Oneclick Logistics Ltd provides clearing and forwarding services[1]"
TCPLPACK,3527.0,-6.14,32,18-Feb-2025,Equity,"₹ 3,248 Cr.",24.0,21.4 %,20.1 %,0.62 %,Packaging,Packaging,"TCPL manufactures folding cartons, printed blanks and outers, litho-lamination, plastic cartons, blister packs, and shelf-ready packaging. TCPL has also ventured into the flexible packaging industry, with the capability to produce printed cork-tipping paper, laminates, sleeves, and wrap-around labels."
CAMLINFINE,148.59,5.68,2.0,19-Feb-2025,Equity,"₹ 2,852 Cr.",Book Value,-7.23 %,0.37 %,0.00 %,Chemicals,Chemicals,Camlin Fine Sciences is engaged in the Business of Speciality Chemicals.
COOLCAPS,915.0,8.05,1.0,19-Feb-2025,SME,"₹ 1,056 Cr.",185,12.1 %,12.0 %,0.00 %,Plastic products,Plastics Products,"Incorporated in 2015, Cool Caps Industries manufactures Plastic Caps & Closures[1]"
HEXT,755.75,1.37,,19-Feb-2025,Equity,"₹ 22,902 Cr.",31.8,26.0 %,33.6 %,0.00 %,IT - Software,Computers - Software - Medium / Small,"Incoprorated in 1992, Hexaware Technologies Ltd provides AI based digital & technology solutions[1]"
KOTAKBANK,1986.9,1.2,6.0,19-Feb-2025,Equity,"₹ 3,94,626 Cr.",27.5,15.3 %,7.24 %,0.10 %,Banks,Banks - Private Sector,"Kotak Mahindra Bank is a diversified financial services group providing a wide range of banking and financial services including Retail Banking, Treasury and Corporate Banking, Investment Banking, Stock Broking, Vehicle Finance, Advisory services, Asset Management, Life Insurance and General Insurance."
MAXVOLT,181.0,0.56,,19-Feb-2025,SME,₹ 154 Cr.,29.8,84.8 %,65.1 %,%,Auto Ancillaries,Auto Ancillaries,"Incorporated in 2019, Maxvolt Energy Industries Limited is a manufacturer of lithium-ion batteries.[1]"
MPSLTD,2805.0,2.53,1.0,19-Feb-2025,Equity,"₹ 4,872 Cr.",45.0,29.2 %,39.0 %,2.63 %,IT - Software,Computers - Software - Medium / Small,"MPS is a B2B learning and platform solutions company powering education, and research for corporates. MPS has unlocked a new growth trajectory due to the combined effect of lower attention spans, rapid growth in digital consumption, and the recent advances in AI/ML."
PSRAJ,151.2,4.28,,19-Feb-2025,SME,₹ 83.1 Cr.,13.1,23.1 %,22.0 %,%,Steel,Steel - Medium / Small,"Incorporated in November 2004, PS Raj Steels Limited manufactures and supplies stainless steel pipes and tubes in India.[1]"
RAMANEWS,26.5,15.47,183.0,19-Feb-2025,Equity,₹ 377 Cr.,Book Value,-28.3 %,0.77 %,0.00 %,Miscellaneous,Miscellaneous,"Incorporated in 1993, Shree Rama Newsprint Ltd is in the business of manufacturing and selling of Newsprint and Writing & printing papers. It also operates a Water bottle plant"
SHREECEM,28611.35,0.88,6.0,19-Feb-2025,Equity,"₹ 1,03,473 Cr.",79.5,12.8 %,15.4 %,0.37 %,Cement,Cement - North India,Shree Cement is engaged in manufacturing and selling of cement and cement related products and is ** one of the lowest cost producers in the country. It is the 3rd largest** cement producer in India with an installed capacity of 46.4 MTPA.
TAJGVK,466.8,20.0,47.0,19-Feb-2025,Equity,"₹ 2,943 Cr.",32.0,14.8 %,18.8 %,0.32 %,Hotels & Restaurants,Hotels,"TajGVK Hotels & Resorts Limited, incorporated in 1995, is a joint venture between the Hyderabad-based GVK Group and Indian Hotels Company Limited (IHCL). The Company is engaged in the business of owning, operating & managing hotels, palaces, and resorts under the brand name of “”"
TCPLPACK,4050.0,13.74,1.0,19-Feb-2025,Equity,"₹ 3,654 Cr.",27.0,21.4 %,20.1 %,0.55 %,Packaging,Packaging,"TCPL manufactures folding cartons, printed blanks and outers, litho-lamination, plastic cartons, blister packs, and shelf-ready packaging. TCPL has also ventured into the flexible packaging industry, with the capability to produce printed cork-tipping paper, laminates, sleeves, and wrap-around labels."
UPL,651.0,3.2,14.0,19-Feb-2025,Equity,"₹ 48,786 Cr.",67.4,16.6 %,12.6 %,0.15 %,Agro Chemicals,Pesticides / Agrochemicals - Indian,"UPL is principally engaged in the business of agrochemicals, industrial chemicals, chemical intermediates, speciality chemicals and production and sale of field crops and vegetable seeds."
VOLERCAR,89.35,-0.72,,19-Feb-2025,SME,₹ 74.5 Cr.,19.3,390 %,149 %,%,Miscellaneous,Miscellaneous,"Incorporated in 2010, Voler Cars Limited provides employee transportation services (ETS) to large MNCs and corporate clients.[1]"
